Neohymenopogon parasiticus
Neolitsea pallens
Nepeta cataria
Nepeta coerulescens
Nepeta discolor
Nepeta elliptica
Nepeta lamiopsis
Nepeta nivalis
Nepeta staintonii
Nephrolepis cordifolia
Neustanthus phaseoloides
Notholirion macrophyllum
Nymphaea nouchali
Nymphaea rubra
Ocimum americanum
Oenanthe javanica
Oenanthe linearis
Oenanthe thomsonii
Onychium siliculosum
Ophioglossum petiolatum
Ophioglossum reticulatum
Ophiopogon intermedius
Ophiorrhiza fasciculata
Oplismenus burmanni
Oreoseris maxima
Oreoseris nivea
Orobanche alba
Orobanche coerulescens
Orobanche solmsii
Orthosiphon incurvus
Orthosiphon rubicundus
Osbeckia chinensis
Osbeckia nutans
Osbeckia stellata
Osmanthus fragrans
Osmanthus suavis
Ototropis conferta
Ototropis multiflora
Ottelia alismoides
Ouret lanata
Ouret sanguinolenta
Oxyria digyna
Oxyspora paniculata
Oxytropis williamsii
Pandanus furcatus
Pandanus odorifer
Paraquilegia microphylla
Paris mairei
Paris marmorata
Paris thibetica
Parnassia wightiana
Parochetus communis
Parthenocissus semicordata
Pedicularis bifida
Pedicularis gracilis
Pedicularis hoffmeisteri
Pedicularis klotzschii
Pedicularis longiflora
Pedicularis megalantha
Pedicularis pectinata
Pedicularis rhinanthoides
Pedicularis scullyana
Pedicularis siphonantha
Pedicularis trichoglossa
Peperomia heyneana
Peperomia tetraphylla
Periploca calophylla
Peristylus goodyeroides
Persicaria glabra
Persicaria hydropiper
Persicaria nepalensis
Persicaria perfoliata
Persicaria posumbu
Persicaria runcinata
Persicaria viscosa
Phalaris arundinacea
Phanera vahlii
Phlogacanthus thyrsiformis
Phlomoides bracteosa
Phlomoides hamosa
Phlomoides macrophylla
Phlomoides rotata
Phoebe bootanica
Phoebe lanceolata
Phoenix acaulis
Phoenix loureiroi
Phragmites karka
Phyla nodiflora
Phyllanthus amarus
Phyllanthus lepidocarpus
Phyllanthus reticulatus
Phyllanthus velutinus
Phyllanthus virgatus
Phyllodium pulchellum
Phyllolobium donianum
Picea smithiana
Picris hieracioides
Pieris formosa
Pilea anisophylla
Pilea symmeria
Piliostigma malabaricum
Pimpinella diversifolia
Pinalia spicata
Pinanga gracilis
Piper boehmeriifolium
Piper mullesua
Piper peepuloides
Piper suipigua
Piper wallichii
Piptanthus nepalensis
Plantago asiatica
Plantago depressa
Platostoma hispidum
Pleione humilis
Pleione maculata
Pleione praecox
Pogostemon amaranthoides
Pogostemon glaber
Polygala abyssinica
Polygala arillata
Polygala crotalarioides
Polygala elegans
Polygala longifolia
Polygala sibirica
Polygala tatarinowii
Polygonum plebeium
Pontederia hastata
